VOYAGEID,YEARAM,NATINIMP,MJBYPTIMP,MJSLPTIMP
155,1822,Portugal/Brazil,60707,50422
156,1822,Portugal/Brazil,60820,50422
157,1822,Portugal/Brazil,60734,50422
158,1822,Portugal/Brazil,60734,50422
159,1822,Portugal/Brazil,60822,50422
160,1822,Portugal/Brazil,60822,50422
161,1822,Portugal/Brazil,60734,50422
162,1822,Portugal/Brazil,60820,50422
163,1822,Portugal/Brazil,60734,50422
164,1822,Portugal/Brazil,60711,50422
165,1822,Portugal/Brazil,60711,50422
166,1822,Portugal/Brazil,60822,50422
167,1822,Portugal/Brazil,60734,50422
168,1822,Portugal/Brazil,60734,50422
169,1822,Portugal/Brazil,60707,50422
170,1822,Portugal/Brazil,60711,50422
171,1822,Portugal/Brazil,60734,50422
172,1822,Portugal/Brazil,60734,50422
173,1822,Portugal/Brazil,60711,50422
174,1822,Portugal/Brazil,60707,50422
175,1822,Portugal/Brazil,60711,50422
176,1822,Portugal/Brazil,60734,50422
177,1822,Portugal/Brazil,60999,50422
178,1822,Portugal/Brazil,60734,50422
179,1822,Portugal/Brazil,60734,50422
180,1822,Portugal/Brazil,60734,50422
181,1822,Portugal/Brazil,60707,50422
182,1822,Portugal/Brazil,60707,50422
183,1822,Portugal/Brazil,60707,50422
184,1822,Portugal/Brazil,60734,50422
185,1822,Portugal/Brazil,60711,50422
186,1822,Portugal/Brazil,60707,50422
187,1822,Portugal/Brazil,60711,50422
188,1822,Portugal/Brazil,60711,50422
189,1822,Portugal/Brazil,60711,50422
190,1822,Portugal/Brazil,60734,50422
191,1822,Portugal/Brazil,60707,50422
192,1822,Portugal/Brazil,60734,50422
193,1822,Portugal/Brazil,60822,50422
194,1822,Portugal/Brazil,60711,50422
195,1822,Portugal/Brazil,60822,50422
196,1822,Portugal/Brazil,60734,50422
197,1822,Portugal/Brazil,60707,50422
198,1822,Portugal/Brazil,60599,50299
199,1822,Portugal/Brazil,60725,50299
200,1822,Portugal/Brazil,60725,50299
201,1822,Portugal/Brazil,60725,50299
202,1822,Portugal/Brazil,60725,50299
203,1822,Portugal/Brazil,60517,50422
204,1822,Portugal/Brazil,60725,50299
205,1822,Portugal/Brazil,60725,50299
206,1822,Portugal/Brazil,60725,50299
207,1822,Portugal/Brazil,60515,50299
208,1822,Portugal/Brazil,60725,50299
209,1822,Portugal/Brazil,60725,50299
210,1822,Portugal/Brazil,60725,50299
211,1822,Portugal/Brazil,60725,50299
212,1822,Portugal/Brazil,60734,50299
213,1822,Portugal/Brazil,60725,50299
214,1822,Portugal/Brazil,60725,50299
215,1822,Portugal/Brazil,60523,50299
216,1822,Portugal/Brazil,60915,50422
217,1822,Portugal/Brazil,60515,50299
218,1822,Portugal/Brazil,60517,50299
219,1822,Portugal/Brazil,60725,50299
220,1822,Portugal/Brazil,60725,50299
221,1822,Portugal/Brazil,60515,50299
222,1822,Portugal/Brazil,60734,50299
223,1822,Portugal/Brazil,60517,50299
224,1822,Portugal/Brazil,60703,50299
225,1822,Portugal/Brazil,60517,50299
226,1822,Portugal/Brazil,60510,50299
227,1822,Portugal/Brazil,60725,50299
228,1822,Portugal/Brazil,60517,50299
229,1822,Portugal/Brazil,60599,50299
230,1822,Portugal/Brazil,60515,50299
231,1823,France,60605,50399
232,1822,France,60605,31312
234,1821,Portugal/Brazil,60711,50422
235,1821,Portugal/Brazil,60734,50422
236,1821,Portugal/Brazil,60707,50422
237,1821,Portugal/Brazil,60711,50422
238,1821,Portugal/Brazil,60711,50422
239,1821,Portugal/Brazil,60711,50422
240,1821,Portugal/Brazil,60711,50422
241,1821,Portugal/Brazil,60820,50422
242,1821,Portugal/Brazil,60820,50422
243,1821,Portugal/Brazil,60822,50422
244,1821,Portugal/Brazil,60822,50422
245,1821,Portugal/Brazil,60822,50422
246,1821,Portugal/Brazil,60822,50422
247,1821,Portugal/Brazil,60822,50422
248,1821,Portugal/Brazil,60822,50422
249,1821,Portugal/Brazil,60734,50422
250,1821,Portugal/Brazil,60734,50422
251,1821,Portugal/Brazil,60822,50422
