cve_inegi	state	municipality	year	aggr_sum	aggr_dummy	cvmr1000	menfeje1000	juxt1	juxt2	juxt3	juxt4	juxt5	juxt6	juxt7	juxt8	juxt9	juxtaposition	juxt_cvm	elect_local	elec_cvm	elect_fed	lag_neightotal	perc_tax	mpoff1000	alternancia_mun	alternancia_st	enp_mun	enp_st	center	northcenter	north	gulf	pacific	southeast	southwest
1008	"Aguascalientes"	"San Jos�� de Gracia"	2008	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	1.43183	0.0	0	0	3.97614	2.17842	0	1	0	0	0	0	0
1008	"Aguascalientes"	"San Jos�� de Gracia"	2009	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.673183	0.0	0	0	3.97614	2.17842	0	1	0	0	0	0	0
1008	"Aguascalientes"	"San Jos�� de Gracia"	2010	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	0.580523	0.0	0	0	3.97614	2.17842	0	1	0	0	0	0	0
1008	"Aguascalientes"	"San Jos�� de Gracia"	2011	0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	0	0.0	1.73429	0.0	1	1	2.32417	2.31821	0	1	0	0	0	0	0
1008	"Aguascalientes"	"San Jos�� de Gracia"	2012	0	0.0	0.0		0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	1	0.0	1.02039	0.0	1	1	2.32417	2.31821	0	1	0	0	0	0	0
1009	"Aguascalientes"	"Tepezal��"	2007	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	2.33984	0.0	1	0	2.10333	2.17842	0	1	0	0	0	0	0
1009	"Aguascalientes"	"Tepezal��"	2008	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	1.53187	0.0	0	0	2.71768	2.17842	0	1	0	0	0	0	0
1009	"Aguascalientes"	"Tepezal��"	2009	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	1.17945	0.0	0	0	2.71768	2.17842	0	1	0	0	0	0	0
1009	"Aguascalientes"	"Tepezal��"	2010	0	0.0	0.0	0.050844014	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	1.76572	0.0	0	0	2.71768	2.17842	0	1	0	0	0	0	0
1009	"Aguascalientes"	"Tepezal��"	2011	0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	0	0.0	1.34541	0.0	1	1	2.54312	2.31821	0	1	0	0	0	0	0
1009	"Aguascalientes"	"Tepezal��"	2012	0	0.0	0.0		0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	1	0.0	1.44777	0.0	1	1	2.54312	2.31821	0	1	0	0	0	0	0
1010	"Aguascalientes"	"El Llano"	2007	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	1.96454	0.0	1	0	2.00636	2.17842	0	1	0	0	0	0	0
1010	"Aguascalientes"	"El Llano"	2008	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0	0.0	0.894744	0.0	1	0	2.43423	2.17842	0	1	0	0	0	0	0
1010	"Aguascalientes"	"El Llano"	2009	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0	0.0	0.706868	0.0	1	0	2.43423	2.17842	0	1	0	0	0	0	0
1010	"Aguascalientes"	"El Llano"	2010	0	0.0	0.0	0.053112388	0	1	0	0	0	0	0	0	0	1.0	0.0	1.0	0.0	0	0.0	0.789725	0.0	1	0	2.43423	2.17842	0	1	0	0	0	0	0
1010	"Aguascalientes"	"El Llano"	2011	0	0.0	0.0	0.10421552	0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	0	0.0	0.77526	0.0	0	1	2.59021	2.31821	0	1	0	0	0	0	0
1010	"Aguascalientes"	"El Llano"	2012	0	0.0	0.0		0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	1	0.0	0.983626	0.0	0	1	2.59021	2.31821	0	1	0	0	0	0	0
1011	"Aguascalientes"	"San Francisco de los Romo"	2007	0	0.0	0.0	0.031817745	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	12.9145	0.0	1	0	2.38307	2.17842	0	1	0	0	0	0	0
1011	"Aguascalientes"	"San Francisco de los Romo"	2008	0	0.0	0.030474799	0.0	0	1	0	0	0	0	0	0	0	1.0	0.030474799	0.0	0.0	0	0.0	9.61045	0.0	1	0	2.49612	2.17842	0	1	0	0	0	0	0
