Frazione/Località,Numero,Insegna,Indirizzo,Note,Comune,Cap,Civico,Categorie
,57,"FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL, PUNTO VENDITA",Via Roma,,Baselga di Piné,38042,9,[]
Miola,58,"FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL, PUNTO VENDITA",Via della Chiesa,,Baselga di Piné,38042, 6/3,[]
Faida,59,"FAMIGLIA COOPERATIVA ALTOPIANO DI PINE’ SCARL, PUNTO VENDITA",Via dei Piani,,Baselga di Piné,38042,54,[]
,60,FARMACIA MORELLI S.N.C. DI MORELLI DOTT. GIUSEPPE & C.,Via Cesare Battisti,,Baselga di Piné,38042,93,['FARMACIA']
,61,ORTOFRUTTA - GRAPPOTECA DI ZANEI GIUSEPPE & C. S.N.C.,Via Cesare Battisti,,Baselga di Piné,38042,86,[]
Montagnaga,62,CALZATURE CARLIN,Via Pergine,,Baselga di Piné,38042,14,['CALZATURE']
,63,RIVENDITA TABACCHI N. 5 DI BROSEGHINI CATERINA,Via Cesare Battisti,,Baselga di Piné,38042,121,['TABACCHI']
,64,OTTICI DEFLORIAN MARANGONI DI MARANGONI DONATELLA,Corso Roma,,Baselga di Piné,38042,84,[]
,65,BAZAR IORIATTI LINO & C. S.N.C.,Corso Roma,,Baselga di Piné,38042,2,['BAZAR']
Rizzolaga / Campolongo,66,MINIMERCATO DALSANT GIUSEPPINA & C. SAS,,,Baselga di Piné,38042,96,[]
,67,PANIFICIO ANESI DI ANESI ALESSANDRO,Corso Roma,,Baselga di Piné,38042,77,['PANIFICIO']
,68,MACELLERIA FRANCESCHI ANDREA E C. SNC,Corso Roma,,Baselga di Piné,38042,34,['MACELLERIA']
,69,ORTOFRUTTA ALIMENTARI RAVANELLI RENZO,Corso Roma,,Baselga di Piné,38042,47,['ALIMENTARI']
,70,COLTELLERIA S. MARCO F.LLI VALENTINI SNC,Piazzetta Agostiniani,,Trento,38122,1,[]
