Code,State,Year,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
1005,1,2003,0,0,0,0,0,0,0,0,0,0
1005,1,2004,0,0,0,0,0,0,0,0,0,0
1005,1,2005,0,0,0,0,0,0,0,0,0,0
1005,1,2006,0,0,0,0,0,0,0,0,0,0
1005,1,2007,0,0,0,1,0,0,0,0,0,0
1005,1,2008,0,0,0,1,0,0,0,0,1,0
1005,1,2009,0,0,0,0,0,0,0,0,1,0
1005,1,2010,0,0,0,0,0,0,0,0,1,0
1006,1,1990,0,0,0,0,0,0,0,0,0,0
1006,1,1991,0,0,0,0,0,0,0,0,0,0
1006,1,1992,0,0,0,0,0,0,0,0,0,0
1006,1,1993,0,0,0,0,0,0,0,0,0,0
1006,1,1994,0,0,0,0,0,0,0,0,0,0
1006,1,1995,0,0,0,0,0,0,0,0,0,0
1006,1,1996,0,0,0,0,0,0,0,0,0,0
1006,1,1997,0,0,0,0,0,0,0,0,0,0
1006,1,1998,0,0,0,0,0,0,0,0,0,0
1006,1,1999,0,0,0,0,0,0,0,0,0,0
1006,1,2000,0,0,0,0,0,0,0,0,0,0
1006,1,2001,0,0,0,0,0,0,0,0,0,0
1006,1,2002,0,0,0,0,0,0,0,0,0,0
1006,1,2003,0,0,0,0,0,0,0,0,0,0
1006,1,2004,0,0,0,0,0,0,0,0,0,0
1006,1,2005,0,0,0,0,0,0,0,0,0,0
1006,1,2006,0,0,0,0,0,0,0,0,0,0
1006,1,2007,0,0,0,0,0,0,0,0,1,0
1006,1,2008,0,0,0,0,0,0,0,0,0,0
1006,1,2009,0,0,0,0,0,0,0,0,1,0
1006,1,2010,0,0,0,0,0,0,0,0,1,0
1007,1,1990,0,0,0,0,0,0,0,0,0,0
1007,1,1991,0,0,0,0,0,0,0,0,0,0
1007,1,1992,0,0,0,0,0,0,0,0,0,0
1007,1,1993,0,0,0,0,0,0,0,0,0,0
1007,1,1994,0,0,0,0,0,0,0,0,0,0
1007,1,1995,0,0,0,0,0,0,0,0,0,0
1007,1,1996,0,0,0,0,0,0,0,0,0,0
1007,1,1997,0,0,0,0,0,0,0,0,0,0
1007,1,1998,0,0,0,0,0,0,0,0,0,0
1007,1,1999,0,0,0,0,0,0,0,0,0,0
1007,1,2000,0,0,0,0,0,0,0,0,0,0
1007,1,2001,0,0,0,0,0,0,0,0,0,0
1007,1,2002,0,0,0,0,0,0,0,0,0,0
1007,1,2003,0,0,0,0,0,0,0,0,0,0
1007,1,2004,0,0,0,0,0,0,0,0,0,0
1007,1,2005,0,0,0,0,0,0,0,0,0,0
1007,1,2006,0,0,0,0,0,0,0,0,0,0
1007,1,2007,0,0,0,0,0,0,0,0,0,0
1007,1,2008,0,0,0,0,0,0,0,0,0,0
1007,1,2009,0,0,0,0,0,0,0,0,0,0
1007,1,2010,0,0,0,0,0,0,0,0,0,0
1008,1,1990,0,0,0,0,0,0,0,0,0,0
1008,1,1991,0,0,0,0,0,0,0,0,0,0
1008,1,1992,0,0,0,0,0,0,0,0,0,0
1008,1,1993,0,0,0,0,0,0,0,0,0,0
1008,1,1994,0,0,0,0,0,0,0,0,0,0
1008,1,1995,0,0,0,0,0,0,0,0,0,0
1008,1,1996,0,0,0,0,0,0,0,0,0,0
1008,1,1997,0,0,0,0,0,0,0,0,0,0
1008,1,1998,0,0,0,0,0,0,0,0,0,0
1008,1,1999,0,0,0,0,0,0,0,0,0,0
1008,1,2000,0,0,0,0,0,0,0,0,0,0
1008,1,2001,0,0,0,0,0,0,0,0,0,0
1008,1,2002,0,0,0,0,0,0,0,0,0,0
1008,1,2003,0,0,0,0,0,0,0,0,0,0
1008,1,2004,0,0,0,0,0,0,0,0,0,0
1008,1,2005,0,0,0,0,0,0,0,0,0,0
1008,1,2006,0,0,0,0,0,0,0,0,0,0
1008,1,2007,0,0,0,0,0,0,0,0,0,0
1008,1,2008,0,0,0,0,0,0,0,0,0,0
1008,1,2009,0,0,0,0,0,0,0,0,0,0
1008,1,2010,0,0,0,0,0,0,0,0,0,0
1009,1,1990,0,0,0,0,0,0,0,0,0,0
1009,1,1991,0,0,0,0,0,0,0,0,0,0
1009,1,1992,0,0,0,0,0,0,0,0,0,0
1009,1,1993,0,0,0,0,0,0,0,0,0,0
1009,1,1994,0,0,0,0,0,0,0,0,0,0
1009,1,1995,0,0,0,0,0,0,0,0,0,0
1009,1,1996,0,0,0,0,0,0,0,0,0,0
1009,1,1997,0,0,0,0,0,0,0,0,0,0
1009,1,1998,0,0,0,0,0,0,0,0,0,0
1009,1,1999,0,0,0,0,0,0,0,0,0,0
1009,1,2000,0,0,0,0,0,0,0,0,0,0
1009,1,2001,0,0,0,0,0,0,0,0,0,0
1009,1,2002,0,0,0,0,0,0,0,0,0,0
1009,1,2003,0,0,0,0,0,0,0,0,0,0
1009,1,2004,0,0,0,0,0,0,0,0,0,0
1009,1,2005,0,0,0,0,0,0,0,0,0,0
1009,1,2006,0,0,0,0,0,0,0,0,0,0
1009,1,2007,0,0,0,0,0,0,0,0,0,0
1009,1,2008,0,0,0,0,0,0,0,0,0,0
1009,1,2009,0,0,0,0,0,0,0,0,0,0
1009,1,2010,0,0,0,0,0,0,0,0,0,0
1010,1,1990,0,0,0,0,0,0,0,0,0,0
1010,1,1991,0,0,0,0,0,0,0,0,0,0
1010,1,1992,0,0,0,0,0,0,0,0,0,0
1010,1,1993,0,0,0,0,0,0,0,0,0,0
1010,1,1994,0,0,0,0,0,0,0,0,0,0
1010,1,1995,0,0,0,0,0,0,0,0,0,0
1010,1,1996,0,0,0,0,0,0,0,0,0,0
1010,1,1997,0,0,0,0,0,0,0,0,0,0
1010,1,1998,0,0,0,0,0,0,0,0,0,0
1010,1,1999,0,0,0,0,0,0,0,0,0,0
1010,1,2000,0,0,0,0,0,0,0,0,0,0
1010,1,2001,0,0,0,0,0,0,0,0,0,0
1010,1,2002,0,0,0,0,0,0,0,0,0,0
1010,1,2003,0,0,0,0,0,0,0,0,0,0
1010,1,2004,0,0,0,0,0,0,0,0,0,0
1010,1,2005,0,0,0,0,0,0,0,0,0,0
1010,1,2006,0,0,0,0,0,0,0,0,0,0
1010,1,2007,0,0,0,0,0,0,0,0,0,0
1010,1,2008,1,0,0,0,0,1,0,0,0,0
1010,1,2009,1,0,0,0,0,0,0,0,0,0
1010,1,2010,1,0,0,0,0,1,0,0,0,0
1011,1,1990,0,0,0,0,0,0,0,0,0,0
1011,1,1991,0,0,0,0,0,0,0,0,0,0
1011,1,1992,0,0,0,0,0,0,0,0,0,0
1011,1,1993,0,0,0,0,0,0,0,0,0,0
1011,1,1994,0,0,0,0,0,0,0,0,0,0
1011,1,1995,0,0,0,0,0,0,0,0,0,0
1011,1,1996,0,0,0,0,0,0,0,0,0,0
1011,1,1997,0,0,0,0,0,0,0,0,0,0
1011,1,1998,0,0,0,0,0,0,0,0,0,0
1011,1,1999,0,0,0,0,0,0,0,0,0,0
1011,1,2000,0,0,0,0,0,0,0,0,0,0
1011,1,2001,0,0,0,0,0,0,0,0,0,0
1011,1,2002,0,0,0,0,0,0,0,0,0,0
1011,1,2003,0,0,0,0,0,0,0,0,0,0
1011,1,2004,0,0,0,0,0,0,0,0,0,0
1011,1,2005,0,0,0,0,0,0,0,0,0,0
1011,1,2006,0,0,0,0,0,0,0,0,0,0
1011,1,2007,0,0,0,0,0,0,0,0,1,0
1011,1,2008,0,0,0,0,0,0,0,0,0,0
1011,1,2009,0,0,0,0,0,0,0,0,1,0
1011,1,2010,0,0,0,0,0,0,0,0,1,0
2001,2,1990,0,0,0,0,0,0,0,0,0,0
2001,2,1991,0,0,0,0,0,0,0,0,0,0
2001,2,1992,0,0,0,0,0,0,0,0,0,0
2001,2,1993,0,0,0,0,0,1,0,0,0,0
2001,2,1994,0,0,0,0,0,0,0,0,0,0
2001,2,1995,0,0,0,0,0,0,0,0,0,0
2001,2,1996,0,0,0,0,0,0,0,0,0,0
2001,2,1997,0,0,0,0,1,0,0,0,0,0
2001,2,1998,0,0,0,0,0,0,0,1,0,0
2001,2,1999,0,0,0,0,1,0,0,0,0,0
2001,2,2000,0,0,0,0,0,1,0,1,0,0
2001,2,2001,0,0,0,0,0,0,0,1,0,0
2001,2,2002,0,0,0,0,0,0,0,0,0,0
2001,2,2003,0,0,0,0,0,0,0,1,0,0
2001,2,2004,0,0,0,0,0,0,0,1,0,0
2001,2,2005,0,0,0,0,1,1,0,1,0,0
2001,2,2006,0,0,0,0,0,0,0,1,0,1
2001,2,2007,0,0,0,0,1,0,0,1,0,1
2001,2,2008,0,0,0,0,0,0,0,1,0,1
2001,2,2009,0,0,0,0,0,0,0,1,1,1
2001,2,2010,0,0,0,0,0,0,0,1,1,1
2002,2,1990,0,0,0,0,0,0,0,0,0,0
2002,2,1991,0,0,0,0,0,0,0,0,0,0
2002,2,1992,0,0,0,0,0,0,0,1,1,0
2002,2,1993,0,0,0,0,0,0,0,1,1,0
2002,2,1994,0,0,0,0,0,0,0,1,1,0
2002,2,1995,0,0,0,0,0,1,0,1,0,0
2002,2,1996,0,0,0,0,0,0,0,1,0,0
2002,2,1997,0,0,0,0,0,0,0,0,0,0
2002,2,1998,0,0,0,0,0,0,0,0,0,0
2002,2,1999,0,0,0,0,0,0,0,0,1,0
2002,2,2000,0,0,0,0,0,0,0,1,0,0
2002,2,2001,0,0,0,1,0,0,0,1,0,0
2002,2,2002,0,0,0,0,0,0,0,1,0,0
2002,2,2003,0,0,0,0,0,0,0,0,0,0
2002,2,2004,0,0,0,0,0,0,0,1,0,0
2002,2,2005,0,0,0,1,0,0,0,1,0,0
2002,2,2006,1,0,0,0,0,0,0,1,0,1
2002,2,2007,0,0,0,0,0,1,0,1,1,1
2002,2,2008,0,0,0,0,0,0,0,1,1,1
2002,2,2009,0,0,1,0,0,0,0,1,1,1
2002,2,2010,0,0,1,0,0,1,0,1,1,1
2003,2,1990,0,0,0,0,0,0,0,0,0,0
2003,2,1991,0,0,0,0,0,0,0,0,0,0
2003,2,1992,0,0,0,0,0,0,0,0,0,0
2003,2,1993,0,0,0,0,0,0,0,0,0,0
2003,2,1994,0,0,0,0,0,0,0,0,0,0
2003,2,1995,0,0,0,0,0,0,0,0,0,0
2003,2,1996,0,0,0,0,0,0,0,0,0,0
2003,2,1997,0,0,0,0,0,1,0,0,0,0
2003,2,1998,0,0,0,0,1,0,0,0,0,0
2003,2,1999,0,0,0,0,0,0,0,0,0,0
2003,2,2000,0,0,0,0,0,0,0,0,0,0
2003,2,2001,0,0,0,0,0,0,0,0,0,0
2003,2,2002,0,0,0,0,0,1,0,0,0,0
2003,2,2003,0,0,0,0,0,0,0,0,0,0
2003,2,2004,0,0,0,0,0,0,0,1,0,0
2003,2,2005,0,0,1,0,0,1,0,1,0,0
2003,2,2006,0,0,0,0,0,1,0,1,0,0
2003,2,2007,0,0,0,0,0,1,0,1,0,1
2003,2,2008,0,0,0,0,0,1,0,1,0,1
2003,2,2009,0,0,0,0,0,0,0,1,0,1
2003,2,2010,0,0,0,0,0,0,0,1,0,1
2004,2,1990,0,0,0,0,0,0,0,0,0,0
2004,2,1991,0,0,0,0,0,0,0,0,0,0
2004,2,1992,0,0,0,0,0,0,0,1,0,0
2004,2,1993,0,0,0,0,0,0,0,0,0,0
2004,2,1994,0,0,0,1,0,0,0,1,0,0
2004,2,1995,0,0,0,0,0,0,0,0,0,0
2004,2,1996,0,0,0,0,1,1,0,0,0,0
2004,2,1997,0,0,0,0,0,0,1,1,0,0
2004,2,1998,0,0,0,0,0,1,0,1,0,0
2004,2,1999,0,0,0,1,0,0,0,1,0,0
2004,2,2000,0,0,0,0,0,1,0,1,0,0
2004,2,2001,0,0,0,1,0,1,0,1,0,0
2004,2,2002,0,0,0,0,0,0,0,1,0,0
2004,2,2003,0,0,0,0,1,0,0,1,0,0
2004,2,2004,0,0,0,0,0,0,0,1,0,1
2004,2,2005,0,0,0,0,0,0,0,1,0,0
2004,2,2006,0,0,0,0,0,0,0,1,0,1
2004,2,2007,0,0,0,0,0,1,1,1,0,1
2004,2,2008,0,0,0,0,0,1,1,1,0,1
2004,2,2009,0,0,0,0,0,0,1,1,0,1
2004,2,2010,0,0,1,0,0,1,1,1,0,1
2005,2,1990,0,0,0,0,0,0,0,0,0,0
2005,2,1991,0,0,0,0,0,0,0,0,0,0
2005,2,1992,0,0,0,0,0,0,0,1,0,0
2005,2,1993,0,0,0,0,0,0,0,0,0,0
2005,2,1994,0,0,0,0,0,0,0,0,0,0
2005,2,1995,0,0,0,0,0,0,0,0,0,0
2005,2,1996,0,0,0,0,0,0,0,0,0,0
2005,2,1997,0,0,0,0,0,0,0,1,0,0
2005,2,1998,0,0,0,0,0,0,0,1,0,0
2005,2,1999,0,0,0,0,0,0,0,0,0,0
2005,2,2000,0,0,0,0,0,0,0,1,0,0
2005,2,2001,0,0,0,0,0,0,0,0,0,0
2005,2,2002,0,0,0,0,0,1,0,0,0,0
2005,2,2003,0,0,0,0,0,0,0,0,0,0
