star,starLabel,movie,movieLabel,firstReleased
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q694040,Plattfuß in Afrika,1978-03-22T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q736144,"Verflucht, verdammt und Halleluja",1972-09-09T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q751099,Lucky Luke,1991-07-04T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q758591,Auch die Engel essen Bohnen,1973-03-22T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q780835,Eine Faust geht nach Westen,1981-03-06T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q785492,Der Ölprinz,1965-08-25T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q822995,Duell vor Sonnenuntergang,1965-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q825322,Der Sizilianer,1972-09-28T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q826950,"Mord ist mein Geschäft, Liebling",2009-02-26T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q840565,Django und die Bande der Gehenkten,1967-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q841882,Plattfuß räumt auf,1975-03-27T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q841887,Sie nannten ihn Plattfuß,1973-10-23T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q848252,Vier für ein Ave Maria,1968-10-31T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q848252,Vier für ein Ave Maria,1968-10-31T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q850096,Buddy haut den Lukas,1980-09-25T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q850155,"Hector, der Ritter ohne Furcht und Tadel",1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q882468,Blaue Bohnen für ein Halleluja,1967-01-01T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q895543,Unter Geiern,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q908533,Keiner haut wie Don Camillo,1983-01-01T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q910695,Marschier oder stirb,1977-08-05T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q917322,Wenn man vom Teufel spricht,1990-01-01T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q937303,Aladins Abenteuer,1961-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q938137,Quo vadis?,1951-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q942657,Die Miami Cops,1985-11-01T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q942657,Die Miami Cops,1985-11-01T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q943961,Freibeuter der Meere,1971-03-12T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q943961,Freibeuter der Meere,1971-03-12T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q964009,Mein Name ist Nobody,1973-12-13T00:00:00Z
http://www.wikidata.org/entity/Q221074,Bud Spencer,http://www.wikidata.org/entity/Q970386,Das Krokodil und sein Nilpferd,1979-12-13T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q970386,Das Krokodil und sein Nilpferd,1979-12-13T00:00:00Z
http://www.wikidata.org/entity/Q243430,Terence Hill,http://www.wikidata.org/entity/Q1062054,Der Supercop,1980-01-01T00:00:00Z
