"Upper →
Lower ↓","乾 Qián
111
Heaven","坤 Kūn
000
Earth","震 Zhèn
100
Thunder","坎 Kǎn
010
Water","艮 Gèn
001
Mountain","巽 Xùn
011
Air","離 Lí
101
Fire","兌 Duì
110
Lake"
"乾 Qián
111
Heaven","01
 
 
Force","11
 
 
Pervading","34
 
 
Great Invigorating","05
 
 
Attending","26
 
 

Great Accumulating","09
 
 

Small Harvest","14
 
 

Great Possessing","43
 
 
Displacement"
"坤 Kūn
000
Earth","12
 
 
Obstruction","02
 
 
Field","16
 
 
Providing For","08
 
 
Grouping","23
 
 
Stripping","20
 
 
Viewing","35
 
 
Prospering","45
 
 
Clustering"
"震 Zhèn
100
Thunder","25
 
 
Innocence","24
 
 
Returning","51
 
 
Shake","03
 
 
Sprouting","27
 
 
Swallowing","42
 
 
Augmenting","21
 
 
Gnawing Bite","17
 
 
Following"
"坎 Kǎn
010
Water","06
 
 
Arguing","07
 
 
Leading","40
 
 
Deliverance","29
 
 
Gorge","04
 
 
Enveloping","59
 
 
Dispersing","64
 
 
Before Completion","47
 
 
Confining"
"艮 Gèn
001
Mountain","33
 
 
Retiring","15
 
 
Humbling","62
 
 
Small Exceeding","39
 
 
Limping","52
 
 
Bound","53
 
 
Infiltrating","56
 
 
Sojourning","31
 
 
Conjoining"
"巽 Xùn
011
Air","44
 
 
Coupling","46
 
 
Ascending","32
 
 
Persevering","48
 
 
Welling","18
 
 
Correcting","57
 
 
Ground","50
 
 
Holding","28
 
 
Great Exceeding"
"離 Lí
101
Fire","13
 
 

Concording People","36
 
 

Intelligence Hidden","55
 
 
Abounding","63
 
 

Already Fording","22
 
 
Adorning","37
 
 

Dwelling People","30
 
 
Radiance","49
 
 
Skinning"
"兌 Duì
110
Lake","10
 
 
Treading","19
 
 
Nearing","54
 
 
Converting the Maiden","60
 
 
Articulating","41
 
 
Diminishing","61
 
 
Inner Truth","38
 
 
Polarising","58
 
 
Open"
