constellation,type,ra,dec,description
Capricornus,1,36529,-750,draw alpha1
Capricornus,-1,0,0,
Carina,0,11518,-3161,move canopus
Carina,1,16596,-4183,draw beta
Carina,1,18412,-4202,draw omega
Carina,1,19288,-3863,draw theta
Carina,1,19996,-3745,draw 11:06:32 -62:25:27
Carina,1,20178,-3619,draw 11:12:36 -60:19:03
Carina,1,20057,-3538,draw 11:08:35 -58:58:30
Carina,1,19605,-3531,draw 10:53:30 -58:51:12
Carina,1,19351,-3581,draw eta
Carina,1,18960,-3701,draw 10:32:01 -61:41:07
Carina,1,19288,-3863,draw theta
Carina,0,18960,-3701,move 10:32:01 -61:41:07
Carina,1,18512,-3679,draw 10:17:05 -61:19:56
Carina,1,16712,-3556,draw iota
Carina,1,15741,-3282,draw delta vel
Carina,0,16712,-3556,move iota
Carina,1,15075,-3570,draw epsilon
Carina,1,14303,-3178,draw chi
Carina,1,14686,-2840,draw gamma2 vel
Carina,-1,0,0,
Cassiopeia,0,275,3548,move beta
Cassiopeia,1,1215,3392,draw alpha
Cassiopeia,1,1701,3643,draw gamma
Cassiopeia,1,2574,3614,draw delta
Cassiopeia,1,3431,3820,draw epsilon
Cassiopeia,-1,0,0,
Centaurus,0,26387,-3650,move alpha1
Centaurus,1,25314,-3622,draw hadar (agena)
Centaurus,1,24596,-3207,draw epsilon
Centaurus,1,25066,-2837,draw zeta
Centaurus,1,25251,-2736,draw upsilon2
Centaurus,1,25160,-2688,draw upsilon1
Centaurus,1,25148,-2526,draw phi
Centaurus,1,26265,-2529,draw eta
Centaurus,1,26974,-2526,draw kappa
Centaurus,0,25148,-2526,move phi
Centaurus,1,25381,-2470,draw chi
Centaurus,1,25816,-2273,draw psi
Centaurus,1,25400,-2182,draw theta
Centaurus,1,24885,-2501,draw nu
Centaurus,1,24331,-2364,draw 24331 -2364
Centaurus,1,24017,-2202,draw iota
Centaurus,1,23203,-2410,draw 23203 -2410
Centaurus,0,24885,-2501,move nu
Centaurus,1,24888,-2548,draw mu
Centaurus,1,25066,-2837,draw zeta
Centaurus,1,22845,-2937,draw gamma
Centaurus,1,24596,-3207,draw epsilon
Centaurus,0,22845,-2937,move gamma
Centaurus,1,22441,-3013,draw sigma
Centaurus,1,21949,-3142,draw rho
Centaurus,1,21195,-3670,draw 21195 -3670
Centaurus,1,20873,-3781,draw lambda
Centaurus,0,22441,-3013,move sigma
Centaurus,1,21850,-3043,draw delta
Centaurus,1,20430,-3269,draw pi
Centaurus,-1,0,0,
Cepheus,0,38357,3755,move alpha
Cepheus,1,38659,4233,draw beta
Cepheus,1,42580,4657,draw gamma
Cepheus,1,41090,3972,draw iota
Cepheus,1,42580,4657,draw gamma
Cepheus,0,41090,3972,move iota
Cepheus,1,39925,3492,draw zeta
Cepheus,1,39163,3667,draw nu
Cepheus,1,39105,3526,draw mu
Cepheus,1,38357,3755,draw alpha
Cepheus,1,37358,3710,draw eta
Cepheus,1,36887,3779,draw theta
Cepheus,-1,0,0,
Cetus,0,4899,194,move gamma
Cetus,1,5468,245,draw alpha
Cetus,1,5391,534,draw lambda
Cetus,1,4948,606,draw mu
Cetus,1,4444,507,draw xi2
Cetus,1,4676,335,draw nu
Cetus,1,4899,194,draw gamma
Cetus,1,4784,19,draw delta
Cetus,1,4180,-178,draw mira
Cetus,1,3343,-620,draw zeta
Cetus,1,2520,-491,draw theta
Cetus,1,2057,-610,draw eta
Cetus,1,582,-529,draw iota
Cetus,1,1307,-1079,draw beta
Cetus,1,3122,-956,draw tau
Cetus,1,3343,-620,draw zeta
Cetus,-1,0,0,
Chamaeleon,0,14955,-4615,move alpha
Chamaeleon,1,15019,-4649,draw theta
Chamaeleon,1,19064,-4716,draw gamma
Chamaeleon,1,21588,-4693,draw epsilon
Chamaeleon,1,22150,-4758,draw beta
Chamaeleon,1,19357,-4828,draw delta1
Chamaeleon,1,19064,-4716,draw gamma
Chamaeleon,-1,0,0,
Circinus,0,27525,-3528,move beta
Circinus,1,26475,-3898,draw alpha
Circinus,1,27701,-3559,draw gamma
Circinus,-1,0,0,
Columba,0,9936,-2128,move epsilon
Columba,1,10189,-2044,draw alpha
Columba,1,10528,-2146,draw beta
Columba,1,10726,-2117,draw gamma
Columba,1,11463,-2006,draw delta
Columba,0,10528,-2146,move beta
Columba,1,10774,-2568,draw eta
Columba,-1,0,0,
Coma_Berenices,0,23699,1051,move alpha
Coma_Berenices,2,23756,1672,dotted beta
Coma_Berenices,2,22408,1696,dotted gamma
Coma_Berenices,-1,0,0,
Corona_Australis,0,34392,-2223,move gamma
Corona_Australis,1,34484,-2274,draw alpha
Corona_Australis,1,34500,-2360,draw beta
Corona_Australis,1,34450,-2429,draw delta
Corona_Australis,1,33405,-2538,draw theta
Corona_Australis,-1,0,0,
Corona_Borealis,0,27987,1881,move theta
Corona_Borealis,1,27834,1746,draw beta
Corona_Borealis,1,28040,1602,draw alpha
Corona_Borealis,1,28282,1577,draw gamma
Corona_Borealis,1,28487,1564,draw delta
Corona_Borealis,1,28727,1612,draw epsilon
Corona_Borealis,1,28843,1791,draw iota
Corona_Borealis,-1,0,0,
Corvus,0,21852,-1483,move alpha
Corvus,1,21903,-1357,draw epsilon
Corvus,1,22631,-1403,draw beta
Corvus,1,22495,-990,draw delta
Corvus,1,22074,-1052,draw gamma
Corvus,1,21903,-1357,draw epsilon
Corvus,-1,0,0,
Crater,0,21480,-1029,move eta
Crater,1,21142,-1101,draw zeta
Crater,1,20546,-1061,draw gamma
Crater,1,20500,-1126,draw lambda
Crater,1,20149,-1369,draw beta
Crater,1,19793,-1097,draw alpha
Crater,1,20380,-886,draw delta
Crater,1,20546,-1061,draw gamma
Crater,0,20380,-886,move delta
Crater,1,20538,-651,draw epsilon
Crater,1,20900,-588,draw theta
Crater,-1,0,0,
Crux,0,22397,-3785,move alpha1
Crux,1,22534,-3426,draw gamma
Crux,0,23031,-3581,move beta
Crux,1,22054,-3524,draw delta
Crux,-1,0,0,
Cygnus,0,35121,1677,move beta1
Cygnus,1,35716,1974,draw chi
Cygnus,1,35889,2105,draw eta
Cygnus,1,36666,2415,draw gamma
Cygnus,1,37386,2038,draw epsilon
Cygnus,2,38188,1813,dotted zeta
Cygnus,2,37715,2470,dotted nu
Cygnus,2,37242,2716,dotted deneb
Cygnus,1,36666,2415,draw gamma
Cygnus,1,35549,2707,draw delta
Cygnus,2,35091,3103,dotted iota
Cygnus,2,34713,3202,dotted kappa
Cygnus,0,35091,3103,move iota
Cygnus,2,36464,2862,dotted 32
Cygnus,2,37242,2716,dotted deneb
Cygnus,-1,0,0,
Delphinus,0,36996,678,move epsilon
Delphinus,1,37018,781,draw eta
Delphinus,1,37126,875,draw beta
Delphinus,1,37303,904,draw delta
Delphinus,1,37399,967,draw gamma1
Delphinus,1,37189,954,draw alpha
Delphinus,1,37126,875,draw beta
Delphinus,-1,0,0,
Dorado,0,7680,-3089,move gamma
Dorado,1,8219,-3302,draw alpha
Dorado,1,10008,-3749,draw beta
Dorado,1,10343,-3944,draw delta
Dorado,1,10623,-3785,draw 5:54:06 -63:05:23
Dorado,1,10008,-3749,draw beta
Dorado,1,9165,-3448,draw zeta
Dorado,1,8219,-3302,draw alpha
Dorado,-1,0,0,
Draco,0,20742,4159,move lambda
Draco,1,22604,4187,draw kappa
Draco,1,25331,3862,draw alpha
Draco,1,27747,3537,draw iota
Draco,1,28856,3513,draw theta
Draco,1,29519,3690,draw eta
Draco,1,30863,3942,draw zeta
Draco,1,33022,4280,draw phi
Draco,1,33031,4363,draw chi
Draco,0,33022,4280,move phi
Draco,1,34576,4059,draw delta
Draco,1,35645,4216,draw epsilon
Draco,0,34576,4059,move delta
Draco,1,32205,3412,draw xi
Draco,1,31565,3311,draw nu1
Draco,1,31513,3138,draw beta
Draco,1,32298,3089,draw gamma
Draco,1,32205,3412,draw xi
Draco,-1,0,0,
Equuleus,0,38110,607,move gamma
Equuleus,2,38234,600,dotted delta
Equuleus,2,38274,314,dotted alpha
Equuleus,-1,0,0,
Eridanus,0,9235,-305,move beta
Eridanus,1,8786,-327,draw omega
Eridanus,1,8565,-195,draw mu
Eridanus,1,8289,-201,draw nu
Eridanus,1,7555,-410,draw omicron1
Eridanus,1,7140,-810,draw gamma
Eridanus,1,6784,-726,draw pi
Eridanus,1,6697,-585,draw delta
Eridanus,1,6387,-567,draw epsilon
Eridanus,1,5292,-533,draw eta
Eridanus,1,4923,-831,draw cet pi
Eridanus,1,4953,-1114,draw tau1
Eridanus,1,5471,-1417,draw tau3
Eridanus,1,5985,-1305,draw tau4
Eridanus,1,6413,-1297,draw tau5
Eridanus,1,6805,-1394,draw tau6
Eridanus,1,7011,-1476,draw tau8
Eridanus,1,7197,-1440,draw tau9
Eridanus,1,8205,-1786,draw upsilon1
Eridanus,1,8266,-1833,draw upsilon2
Eridanus,1,7921,-2041,draw 43
Eridanus,1,7736,-2027,draw upsilon4
Eridanus,1,6883,-2172,draw 3:49:27 -36:12:01
Eridanus,1,6685,-2238,draw 3:42:50 -37:18:49
Eridanus,1,6513,-2416,draw 3:37:06 -40:16:29
Eridanus,1,5998,-2584,draw 3:19:56 -43:04:11
Eridanus,1,5348,-2418,draw theta2
Eridanus,1,4820,-2391,draw iota
