constellation,type,ra,dec,description
Pegasus,1,40890,1813,draw eta
Pegasus,1,41513,1684,draw beta
Pegasus,1,41100,1476,draw mu
Pegasus,1,40995,1413,draw lambda
Pegasus,1,39810,1520,draw iota
Pegasus,1,39139,1538,draw kappa
Pegasus,-1,0,0,
Perseus,0,3109,3041,move phi
Perseus,1,4926,2953,draw theta
Perseus,1,5672,2976,draw iota
Perseus,1,5684,2691,draw kappa
Perseus,1,5645,2457,draw algol
Perseus,1,5555,2330,draw rho
Perseus,0,5645,2457,move algol
Perseus,1,7135,2400,draw epsilon
Perseus,1,7168,2147,draw xi
Perseus,1,7023,1913,draw zeta
Perseus,1,6729,1937,draw omicron
Perseus,0,7135,2400,move epsilon
Perseus,1,6687,2867,draw delta
Perseus,1,7459,2862,draw 48
Perseus,1,7646,2904,draw mu
Perseus,1,7747,3017,draw 4:18:15 50:17:44
Perseus,1,7397,3021,draw lambda
Perseus,0,6687,2867,move delta
Perseus,1,6129,2991,draw alpha
Perseus,1,5543,3210,draw gamma
Perseus,1,5120,3353,draw eta
Perseus,1,5227,3165,draw tau
Perseus,1,5672,2976,draw iota
Perseus,1,6129,2991,draw alpha
Perseus,-1,0,0,
Phoenix,0,1982,-2803,move beta
Phoenix,1,282,-2744,draw epsilon
Phoenix,1,788,-2538,draw alpha
Phoenix,1,1982,-2803,draw beta
Phoenix,1,2650,-2599,draw gamma
Phoenix,1,2737,-2944,draw delta
Phoenix,1,2051,-3314,draw zeta
Phoenix,1,1982,-2803,draw beta
Phoenix,-1,0,0,
Pictor,0,12245,-3716,move alpha
Pictor,2,10494,-3370,dotted gamma
Pictor,2,10418,-3063,dotted beta
Pictor,-1,0,0,
Pisces,0,1970,1288,move psi1
Pisces,1,2384,1635,draw upsilon
Pisces,1,2149,1805,draw tau
Pisces,1,1970,1288,draw psi1
Pisces,1,2143,1262,draw chi
Pisces,1,2744,920,draw eta
Pisces,1,3161,549,draw omicron
Pisces,1,3661,165,draw alpha
Pisces,1,3406,191,draw xi
Pisces,1,3042,329,draw nu
Pisces,1,2705,368,draw mu
Pisces,1,1888,473,draw epsilon
Pisces,1,1460,455,draw delta
Pisces,1,43179,411,draw omega
Pisces,1,42598,337,draw iota
Pisces,1,42239,382,draw theta
Pisces,1,41914,196,draw gamma
Pisces,1,42208,75,draw kappa
Pisces,1,42661,106,draw lambda
Pisces,1,42598,337,draw iota
Pisces,-1,0,0,
Piscis_Austrinus,0,41329,-1777,move fomalhaut
Piscis_Austrinus,1,40819,-1622,draw epsilon
Piscis_Austrinus,1,39851,-1979,draw mu
Piscis_Austrinus,1,39232,-1853,draw theta
Piscis_Austrinus,1,39148,-1981,draw iota
Piscis_Austrinus,1,39851,-1979,draw mu
Piscis_Austrinus,1,40545,-1940,draw beta
Piscis_Austrinus,1,41175,-1972,draw gamma
Piscis_Austrinus,1,41278,-1952,draw delta
Piscis_Austrinus,1,41329,-1777,draw fomalhaut
Piscis_Austrinus,-1,0,0,
Puppis,0,11518,-3161,move canopus
Puppis,1,11932,-2591,draw nu
Puppis,1,13114,-2225,draw pi
Puppis,1,13906,-1704,draw 1
Puppis,1,13914,-1737,draw 3
Puppis,1,14078,-1491,draw xi
Puppis,1,13764,-1608,draw 7:38:49 -26:48:06
Puppis,1,13906,-1704,draw 1
Puppis,0,14078,-1491,move xi
Puppis,1,14626,-1458,draw rho
Puppis,1,14507,-2400,draw zeta
Puppis,1,14686,-2840,draw vel gamma2
Puppis,-1,0,0,
Pyxis,0,15915,-1662,move gamma
Pyxis,1,15707,-1991,draw alpha
Pyxis,1,15603,-2118,draw beta
Pyxis,1,14507,-2400,draw pup zeta
Pyxis,-1,0,0,
Reticulum,0,7632,-3748,move alpha
Reticulum,1,6726,-3888,draw beta
Reticulum,1,7162,-3684,draw delta
Reticulum,1,7694,-3558,draw epsilon
Reticulum,1,7632,-3748,draw alpha
Reticulum,-1,0,0,
Sagitta,0,35402,1080,move alpha
Sagitta,1,35621,1112,draw delta
Sagitta,1,35962,1169,draw gamma
Sagitta,0,35621,1112,move delta
Sagitta,1,35431,1048,draw beta
Sagitta,-1,0,0,
Sagittarius,0,32928,-2205,move eta
Sagittarius,2,33125,-2063,dotted epsilon
Sagittarius,1,32574,-1825,draw gamma
Sagittarius,1,33029,-1789,draw delta
Sagittarius,1,33125,-2063,draw epsilon
Sagittarius,1,34278,-1792,draw zeta
Sagittarius,1,34408,-1660,draw tau
Sagittarius,1,34057,-1577,draw sigma
Sagittarius,1,33769,-1619,draw phi
Sagittarius,1,34278,-1792,draw zeta
Sagittarius,0,33239,-1525,move lambda
Sagittarius,1,33769,-1619,draw phi
Sagittarius,1,33029,-1789,draw delta
Sagittarius,1,33239,-1525,draw lambda
Sagittarius,2,32812,-1263,dotted mu
Sagittarius,0,34850,-1070,move rho1
Sagittarius,2,34492,-1261,dotted pi
Sagittarius,2,34340,-1304,dotted omicron
Sagittarius,2,34131,-1266,dotted xi2
Sagittarius,2,34492,-1261,dotted pi
Sagittarius,-1,0,0,
Scorpius,0,32095,-2222,move 17:49:52 -37:02:36
Scorpius,1,31608,-2226,draw lambda
Scorpius,1,31522,-2237,draw upsilon
Scorpius,1,31874,-2341,draw kappa
Scorpius,1,32027,-2407,draw iota1
Scorpius,1,31719,-2579,draw theta
Scorpius,1,30964,-2594,draw eta
Scorpius,1,30437,-2541,draw zeta 2
Scorpius,1,30356,-2282,draw mu 1
Scorpius,1,30304,-2057,draw epsilon
Scorpius,1,29876,-1692,draw tau
Scorpius,1,29682,-1585,draw antares
Scorpius,1,29435,-1535,draw sigma
Scorpius,1,28810,-1357,draw delta
Scorpius,1,28765,-1566,draw pi
Scorpius,1,28706,-1752,draw rho
Scorpius,0,28810,-1357,move delta
Scorpius,1,28963,-1188,draw beta1
Scorpius,1,29159,-1166,draw nu
Scorpius,-1,0,0,
Sculptor,0,1758,-1761,move alpha
Sculptor,1,42867,-1687,draw delta
Sculptor,1,41964,-1951,draw gamma
Sculptor,1,42389,-2269,draw beta
Sculptor,-1,0,0,
Scutum,0,33456,-494,move alpha
Scutum,1,33815,-284,draw beta
Scutum,1,33668,-543,draw delta
Scutum,1,33275,-873,draw gamma
Scutum,1,33456,-494,draw alpha
Scutum,-1,0,0,
Serpens_Caput,0,28385,925,move ser beta
Serpens_Caput,1,28693,939,draw ser gamma
Serpens_Caput,1,28462,1088,draw ser kappa
Serpens_Caput,1,28246,1180,draw ser iota
Serpens_Caput,1,28385,925,draw ser beta
Serpens_Caput,1,28044,632,draw ser delta
Serpens_Caput,1,28328,385,draw ser alpha
Serpens_Caput,1,28524,268,draw ser epsilon
Serpens_Caput,1,28488,-205,draw ser mu
Serpens_Caput,1,29230,-221,draw oph delta
Serpens_Caput,-1,0,0,
Serpens_Cauda,0,34086,252,move ser theta1
Serpens_Cauda,1,33039,-173,draw ser eta
Serpens_Cauda,1,32370,-586,draw oph nu
Serpens_Cauda,1,31727,-923,draw ser xi
Serpens_Cauda,1,30911,-943,draw oph eta
Serpens_Cauda,-1,0,0,
Sextans,0,18884,-164,move delta
Sextans,2,18908,-38,dotted beta
Sextans,2,18238,-22,dotted alpha
Sextans,2,17775,-486,dotted gamma
Sextans,-1,0,0,
Taurus,0,6506,24,move 10
Taurus,1,6144,541,draw omicron
Taurus,1,6215,583,draw xi
Taurus,1,7294,359,draw nu
Taurus,0,6215,583,move xi
Taurus,1,7220,749,draw lambda
Taurus,1,7793,937,draw gamma
Taurus,1,8057,957,draw theta1
Taurus,1,8277,990,draw aldebaran
Taurus,1,10129,1268,draw zeta
Taurus,0,7793,937,move gamma
Taurus,1,7888,1052,draw delta1
Taurus,1,7964,1075,draw delta3
Taurus,1,8058,1150,draw epsilon
Taurus,1,9788,1716,draw beta
Taurus,-1,0,0,
Telescopium,0,32736,-2757,move epsilon
Telescopium,1,33209,-2758,draw alpha
Telescopium,1,33264,-2944,draw zeta
Telescopium,-1,0,0,
Triangulum,0,3392,1774,move alpha
Triangulum,1,3886,2099,draw beta
Triangulum,1,4119,2030,draw gamma
Triangulum,1,3392,1774,draw alpha
Triangulum,-1,0,0,
Triangulum_Australe,0,30259,-4141,move alpha
Triangulum_Australe,1,28654,-3805,draw beta
Triangulum_Australe,1,28101,-3979,draw epsilon
Triangulum_Australe,1,27567,-4120,draw gamma
Triangulum_Australe,1,30259,-4141,draw alpha
Triangulum_Australe,-1,0,0,
Tucana,0,40420,-3897,move delta
Tucana,1,40155,-3615,draw alpha
Tucana,1,41922,-3494,draw gamma
Tucana,1,946,-3777,draw beta1
Tucana,1,602,-3892,draw zeta
Tucana,1,43197,-3934,draw epsilon
Tucana,1,40420,-3897,draw delta
Tucana,-1,0,0,
Ursa_Major,0,24826,2958,move eta
Ursa_Major,1,24117,3295,draw mizar a
Ursa_Major,1,23220,3357,draw epsilon
Ursa_Major,1,22062,3421,draw delta
Ursa_Major,1,21414,3221,draw gamma
Ursa_Major,1,19855,3382,draw beta
Ursa_Major,1,19911,3705,draw alpha
Ursa_Major,1,22062,3421,draw delta
Ursa_Major,0,21414,3221,move gamma
Ursa_Major,2,21181,2866,dotted chi
Ursa_Major,2,20354,1985,dotted nu
Ursa_Major,2,20345,1891,dotted xi
Ursa_Major,0,21181,2866,move chi
Ursa_Major,2,20089,2669,dotted psi
Ursa_Major,2,18669,2489,dotted mu
Ursa_Major,2,18512,2574,dotted lambda
Ursa_Major,0,19855,3382,move beta
Ursa_Major,2,17729,3542,dotted upsilon
Ursa_Major,2,15307,3643,dotted omicron
Ursa_Major,2,17145,3783,dotted 23
Ursa_Major,2,19911,3705,dotted alpha
Ursa_Major,0,17145,3783,move 23
Ursa_Major,2,17729,3542,dotted upsilon
Ursa_Major,2,17185,3100,dotted theta
Ursa_Major,2,16308,2829,dotted kappa
Ursa_Major,2,16176,2882,dotted iota
Ursa_Major,-1,0,0,
Ursa_Minor,0,4554,5355,move polaris
Ursa_Minor,1,31566,5195,draw umi delta
Ursa_Minor,1,30179,4922,draw umi epsilon
Ursa_Minor,1,28321,4667,draw umi zeta
Ursa_Minor,1,26721,4449,draw umi beta
Ursa_Minor,1,27621,4310,draw umi gamma
Ursa_Minor,1,29325,4545,draw umi eta
Ursa_Minor,1,28321,4667,draw umi zeta
Ursa_Minor,-1,0,0,
Vela,0,15741,-3282,move delta
Vela,1,16863,-3300,draw kappa
Vela,1,17905,-3274,draw phi
Vela,1,19403,-2965,draw mu
Vela,1,18442,-2527,draw 10:14:44 -42:07:20
Vela,1,17121,-2428,draw psi
Vela,1,16439,-2605,draw lambda
Vela,1,14684,-2840,draw gamma1
Vela,1,15741,-3282,draw delta
Vela,-1,0,0,
Virgo,0,26491,-339,move mu
Virgo,1,25680,-360,draw iota
Virgo,1,24155,-669,draw spica
Virgo,1,22849,-86,draw gamma
Virgo,1,22197,-40,draw eta
Virgo,1,21320,105,draw beta
Virgo,1,21175,391,draw nu
Virgo,1,21756,523,draw omicron
Virgo,1,22849,-86,draw gamma
Virgo,1,23268,203,draw delta
Virgo,1,23465,657,draw epsilon
Virgo,0,23268,203,move delta
Virgo,1,24440,-35,draw zeta
Virgo,1,24155,-669,draw spica
Virgo,0,24440,-35,move zeta
Virgo,1,25249,92,draw tau
Virgo,1,25680,-360,draw iota
Virgo,0,25249,92,move tau
Virgo,1,26587,113,draw 109
Virgo,-1,0,0,
Volans,0,16273,-3983,move alpha
Volans,1,14994,-4290,draw kappa1
Volans,1,13854,-4356,draw zeta
Volans,1,12861,-4229,draw gamma1
Volans,1,13104,-4077,draw delta
Volans,1,14637,-4117,draw epsilon
Volans,1,15172,-3968,draw beta
Volans,1,16273,-3983,draw alpha
Volans,-1,0,0,
Vulpecula,0,35803,1444,move 13
Vulpecula,2,35061,1479,dotted alpha
Vulpecula,-1,0,0,
Love,0,21600,-480,NOTE: Fake constellation! Added for Galactic Love exercise
Love,1,24600,300,  
Love,1,23040,540,
Love,1,21600,300,
Love,1,20160,540,
Love,1,18600,300,
Love,1,21600,-480,
Love,-1,0,0,
